text,page,font_size_avg,font_size_max,font_size_min,font_size_variance,is_bold,is_italic,x_position,y_position,line_width,word_count,char_length,is_title_case,is_upper_case,has_numbers,starts_with_number,is_centered,has_colon,ends_with_period,all_caps_words,punctuation_ratio,font_consistency,indentation_level,page_width,page_height,prev_font_size,prev_is_bold,font_size_diff_prev,next_font_size,next_is_bold,font_size_diff_next,position_in_page,lines_in_page,relative_position_in_page,font_size_avg_norm,font_size_max_norm,x_position_norm,y_position_norm,line_width_norm,font_size_relative,font_size_percentile,filename,label
Application form for grant of LTC advance,1,11.670000076293945,11.670000076293945,11.670000076293945,0.0,True,False,199.86000061035156,106.07836151123047,0.0,7,41,False,False,False,False,False,False,False,1,0.0,1.0,2,595.0,842.0,11.670000076293945,True,0.0,9.744400024414062,True,1.9256000518798828,0,54,0.0,7.280109889280518,7.280109889280518,0.33589916068966647,0.1259838022698699,0.0,1.0,1.0,file01.pdf,title
1.,1,9.744400024414062,9.744400024414062,9.744400024414062,0.0,True,False,70.0199966430664,135.93528747558594,0.0,1,2,False,False,True,False,False,False,True,0,0.5,1.0,0,595.0,842.0,11.670000076293945,True,-1.9256000518798828,9.744400024414062,False,0.0,2,54,0.037037037037037035,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.16144333429404506,0.0,0.8349957121430116,0.9814814814814815,file01.pdf,None
Name of the Government Servant,1,9.744400024414062,9.744400024414062,9.744400024414062,0.0,False,False,95.99856567382812,132.9924774169922,0.0,5,30,False,False,False,False,False,False,False,0,0.0,1.0,1,595.0,842.0,9.744400024414062,True,0.0,9.744400024414062,True,0.0,1,54,0.018518518518518517,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.15794831047148716,0.0,0.8349957121430116,0.9814814814814815,file01.pdf,None
2.,1,9.744400024414062,9.744400024414062,9.744400024414062,0.0,True,False,70.0199966430664,154.05015563964844,0.0,1,2,False,False,True,False,False,False,True,0,0.5,1.0,0,595.0,842.0,9.744400024414062,False,0.0,9.744400024414062,False,0.0,4,54,0.07407407407407407,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.18295742950077012,0.0,0.8349957121430116,0.9814814814814815,file01.pdf,None
Designation,1,9.744400024414062,9.744400024414062,9.744400024414062,0.0,False,False,95.99856567382812,151.0488739013672,0.0,1,11,True,False,False,False,False,False,False,0,0.0,1.0,1,595.0,842.0,9.744400024414062,True,0.0,9.744400024414062,True,0.0,3,54,0.05555555555555555,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.1793929618781083,0.0,0.8349957121430116,0.9814814814814815,file01.pdf,None
3.,1,9.744400024414062,9.744400024414062,9.744400024414062,0.0,True,False,70.0199966430664,180.9252166748047,0.0,1,2,False,False,True,False,False,False,True,0,0.5,1.0,0,595.0,842.0,9.744400024414062,False,0.0,9.744400024414062,False,0.0,6,54,0.1111111111111111,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.21487555424561128,0.0,0.8349957121430116,0.9814814814814815,file01.pdf,None
Date of entering the Central Government,1,9.744400024414062,9.744400024414062,9.744400024414062,0.0,False,False,95.99856567382812,169.1637420654297,0.0,6,39,False,False,False,False,False,False,False,0,0.0,1.0,1,595.0,842.0,9.744400024414062,True,0.0,9.744400024414062,False,0.0,5,54,0.09259259259259259,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.20090705708483336,0.0,0.8349957121430116,0.9814814814814815,file01.pdf,None
Service,1,9.744400024414062,9.744400024414062,9.744400024414062,0.0,False,False,95.99856567382812,186.74266052246094,0.0,1,7,True,False,False,False,False,False,False,0,0.0,1.0,1,595.0,842.0,9.744400024414062,False,0.0,9.744400024414062,True,0.0,7,54,0.12962962962962962,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.22178463244947855,0.0,0.8349957121430116,0.9814814814814815,file01.pdf,None
4.,1,9.744400024414062,9.744400024414062,9.744400024414062,0.0,True,False,70.0199966430664,207.80027770996094,0.0,1,2,False,False,True,False,False,False,True,0,0.5,1.0,0,595.0,842.0,9.744400024414062,False,0.0,9.744400024414062,False,0.0,9,54,0.16666666666666666,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.24679367899045243,0.0,0.8349957121430116,0.9814814814814815,file01.pdf,None
PAY + SI + NPA,1,9.744400024414062,9.744400024414062,9.744400024414062,0.0,False,False,95.99856567382812,204.8574676513672,0.0,5,14,False,True,False,False,False,False,False,3,0.0,1.0,1,595.0,842.0,9.744400024414062,True,0.0,9.744400024414062,True,0.0,8,54,0.14814814814814814,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.24329865516789453,0.0,0.8349957121430116,0.9814814814814815,file01.pdf,None
5.,1,9.744400024414062,9.744400024414062,9.744400024414062,0.0,True,False,70.0199966430664,225.91514587402344,0.0,1,2,False,False,True,False,False,False,True,0,0.5,1.0,0,595.0,842.0,9.744400024414062,False,0.0,9.744400024414062,False,0.0,11,54,0.2037037037037037,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.2683077741971775,0.0,0.8349957121430116,0.9814814814814815,file01.pdf,None
