text,page,font_size_avg,font_size_max,is_bold,is_italic,x_position,y_position,word_count,char_length,is_title_case,is_upper_case,has_numbers,page_width,page_height,font_size_avg_norm,font_size_max_norm,x_position_norm,y_position_norm,font_size_relative,filename,label
Application form for grant of LTC advance,1,11.670000076293945,11.670000076293945,True,False,199.86000061035156,106.07836151123047,7,41,False,False,False,595.0,842.0,7.280109889280518,7.280109889280518,0.33589916068966647,0.1259838022698699,1.0,file01.pdf,title
1.,1,9.744400024414062,9.744400024414062,True,False,70.0199966430664,135.93528747558594,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.16144333429404506,0.8349957121430116,file01.pdf,None
Name of the Government Servant,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,132.9924774169922,5,30,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.15794831047148716,0.8349957121430116,file01.pdf,None
2.,1,9.744400024414062,9.744400024414062,True,False,70.0199966430664,154.05015563964844,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.18295742950077012,0.8349957121430116,file01.pdf,None
Designation,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,151.0488739013672,1,11,True,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.1793929618781083,0.8349957121430116,file01.pdf,None
3.,1,9.744400024414062,9.744400024414062,True,False,70.0199966430664,180.9252166748047,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.21487555424561128,0.8349957121430116,file01.pdf,None
Date of entering the Central Government,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,169.1637420654297,6,39,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.20090705708483336,0.8349957121430116,file01.pdf,None
Service,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,186.74266052246094,1,7,True,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.22178463244947855,0.8349957121430116,file01.pdf,None
4.,1,9.744400024414062,9.744400024414062,True,False,70.0199966430664,207.80027770996094,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.24679367899045243,0.8349957121430116,file01.pdf,None
PAY + SI + NPA,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,204.8574676513672,5,14,False,True,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.24329865516789453,0.8349957121430116,file01.pdf,None
5.,1,9.744400024414062,9.744400024414062,True,False,70.0199966430664,225.91514587402344,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.2683077741971775,0.8349957121430116,file01.pdf,None
Whether permanent or temporary,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,222.9138641357422,4,30,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.26474330657451567,0.8349957121430116,file01.pdf,None
6.,1,9.744400024414062,9.744400024414062,True,False,70.0199966430664,241.09690856933594,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.28633837122248923,0.8349957121430116,file01.pdf,None
